name	smiles
(<i>R</i>)-1-amino-2-propanol <i>O</i>-2-phosphate	C[C@H](CN)OP(=O)(O)O
3-(<i>all-trans</i>-octaprenyl)benzene-1,2-diol	CC(C)=CCC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\Cc1cccc(O)c1O
FMN	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C
5-aminolevulinate	NCC(=O)CCC(=O)O
cob(II)yrinate <i>c</i>-monoamide	CC1=C2N3[C@@H]([C@H](CC(=O)O)[C@@]2(C)CCC(=O)O)[C@]2(C)[N+]4=C(C(C)=C5[N+]6=C(C=C7[N+](=C1[C@@H](CCC(=O)O)C7(C)C)[Co-2]364)[C@@H](CCC(=O)O)[C@]5(C)CC(N)=O)[C@@H](CCC(=O)O)[C@]2(C)CC(=O)O
2-iminobutanoate	CCC(=N)C(=O)O
2-dehydropantoate	CC(C)(CO)C(=O)C(=O)O
UDP-2-N-[(3R)-3-hydroxydodecanoyl]-3-O-[(3R)-3-hydroxydecanoyl]-&alpha;-D-glucosamine	CCCCCCCCC[C@@H](O)CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1OC(=O)C[C@H](O)CCCCCCC
3-dehydroshikimate	O=C(O)C1=CC(=O)[C@@H](O)[C@H](O)C1
phosphate	O=P(O)(O)O
<i>N</i><sup>6</sup>-(3-methylbut-2-en-1-yl)-2-thioadenosine<sup>37</sup> in tRNA	CC(C)=CCNC1(\C2(\N=C/N(C(/N=C(/N=1)/S)=2)[C@@H]3(O[C@H](COP(=O)([O-])O[a tRNA])[C@@H](OP(=O)(O[a tRNA])[O-])[C@@H](O)3)))
5-methylbenzimidazole ribotide phosphate	Cc1ccc2c(c1)ncn2[C@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
2-phospho-D-glycerate	O=C(O)[C@@H](CO)OP(=O)(O)O
methoxyneurosporene	COC(C)(C)CCC/C(C)=C/CC/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(/C)CCC=C(C)C
1-hydroxyneurosporene	CC(C)=CCC/C(C)=C\C=C\C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)CC/C=C(\C)CCCC(C)(C)O
rhodopin	CC(C)=CCC/C(C)=C\C=C\C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCCC(C)(C)O
dUDP	O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
demethylmenaquinol-7	CC(C)=CCC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\Cc1cc(O)c2ccccc2c1O
