name	smiles
maltotriose	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
5'-deoxyadenosine	C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
L-histidinol phosphate	N[C@H](COP(=O)(O)O)Cc1c[nH]cn1
<i>N</i><sup>1</sup>-(5-phospho-&beta;-D-ribosyl)glycinamide	NCC(=O)N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
&beta;-L-rhamnopyranose	C[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O
(1<i>R</i>,6<i>R</i>)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate	O=C(O)CCC(=O)C1=CC=C[C@@H](O)[C@@H]1C(=O)O
2,5-dioxopentanoate	O=CCCC(=O)C(=O)O
7,8-dihydrofolate monoglutamate	Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
quinolinate	O=C(O)c1cccnc1C(=O)O
H<sub>2</sub>O	O
adenosine 3',5'-bisphosphate	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O
UDP-&alpha;-D-galactose	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
L-cysteine	N[C@@H](CS)C(=O)O
1-keto-D-<i>chiro</i>-inositol	O=C1[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O
hexulose 6-phosphate	O=C(C(O)CO)C(O)C(O)COP(=O)(O)O
hydroxyl radical	O
dihydro-4-hydroxyphenylpyruvate	O=C(O)C(=O)CC1=CCC(O)C=C1
<i>N</i>-acetyl-&alpha;-D-glucosaminyl-phospho-<i>ditrans,octacis</i>-undecaprenol	CC(=O)N[C@H]1[C@@H](OP(=O)(O)OC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C)O[C@H](CO)[C@@H](O)[C@@H]1O
&beta;-D-ribopyranose	O[C@@H]1[C@H](O)[C@H](O)CO[C@H]1O
UTP	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
4-(2'-carboxyphenyl)-4-oxobutyryl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)c1ccccc1C(=O)O
<i>S</i>-adenosyl-L-homocysteine	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
&alpha;-L-rhamnopyranose	C[C@@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1O
dTMP	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
(1<i>S</i>,2<i>R</i>)-1-C-(indol-3-yl)glycerol 3-phosphate	O=P(O)(O)OC[C@@H](O)[C@@H](O)c1c[nH]c2ccccc12
coproporphyrin III	CC1=C(CCC(=O)O)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CCC(=O)O)c5C)C(C)=C4CCC(=O)O)c(CCC(=O)O)c3C
dipicolinate	O=C(O)c1cccc(C(=O)O)n1
xanthosine	O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1
&beta;-D-GlcNAc-(1&rarr;4)-Mur2Ac(oyl-L-Ala-&gamma;-D-Glu-DAP-D-Ala-D-Ala)-PP-Und	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H](N)C(=O)O)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)O)C(=O)O)[C@@H](NC(C)=O)[C@@H](OP(=O)(O)OP(=O)(O)OC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C)O[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@@H]1O
6,7-dimethyl-8-(1-D-ribityl)lumazine	Cc1nc2c(=O)[nH]c(=O)nc-2n(C[C@H](O)[C@H](O)[C@H](O)CO)c1C
L-ribulose 5-phosphate	O=C(CO)[C@@H](O)[C@@H](O)COP(=O)(O)O
dTDP-&alpha;-D-glucose	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O
L-arginine	N=C(N)NCCC[C@H](N)C(=O)O
<i>N</i>-acetyl-L-cysteine	CC(=O)N[C@@H](CS)C(=O)O
biotin	O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
guanine	Nc1nc2[nH]cnc2c(=O)[nH]1
preQ<sub>1</sub>	NCc1c[nH]c2nc(N)[nH]c(=O)c12
oxalosuccinate	O=C(O)CC(C(=O)O)C(=O)C(=O)O
shikimate	O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1
acetyl phosphate	CC(=O)OP(=O)(O)O
3-[(4R)-4-hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate	O=C(O)C(=O)CC1=CC[C@@H](O)C=C1
(2<i>S</i>,3<i>S</i>)-2,3-dihydroxy-2,3-dihydrobenzoate	O=C(O)C1=CC=C[C@H](O)[C@H]1O
isochorismate	C=C(O[C@H]1C=CC=C(C(=O)O)[C@@H]1O)C(=O)O
&gamma;-L-glutamyl 5-phosphate	N[C@@H](CCC(=O)OP(=O)(O)O)C(=O)O
N<sup>&omega;</sup>-hydroxy-L-arginine	N=C(NO)NCCC[C@H](N)C(=O)O
